🇨🇳 央视,#genre#
CCTV-5,http://www.ye28.eu.org:7777/udp/239.77.0.177:5146
CCTV-5,http://www.ye28.eu.org:7777/udp/239.77.0.34:5146
CCTV-5,http://xxy.x3322.net:4022/rtp/239.77.0.170:5146
CCTV-5,http://xxy.x3322.net:4022/rtp/239.77.0.177:5146
CCTV-5,http://xxy.x3322.net:4022/rtp/239.77.0.34:5146
CCTV-6,http://www.ye28.eu.org:7777/udp/239.77.0.171:5146
CCTV-6,http://www.ye28.eu.org:7777/udp/239.77.0.178:5146
CCTV-6,http://www.ye28.eu.org:7777/udp/239.77.0.35:5146
CCTV-6,http://xxy.x3322.net:4022/rtp/239.77.0.171:5146
CCTV-6,http://xxy.x3322.net:4022/rtp/239.77.0.178:5146
CCTV-6,http://xxy.x3322.net:4022/rtp/239.77.0.35:5146
CCTV-7,http://www.ye28.eu.org:7777/udp/239.77.0.138:5146
CCTV-7,http://www.ye28.eu.org:7777/udp/239.77.0.36:5146
CCTV-7,http://www.ye28.eu.org:7777/udp/239.77.1.159:5146
CCTV-7,http://www.ye28.eu.org:7777/udp/239.77.1.167:5146
CCTV-7,http://www.ye28.eu.org:7777/udp/239.77.1.24:5146
CCTV-7,http://xxy.x3322.net:4022/rtp/239.77.0.138:5146
CCTV-7,http://xxy.x3322.net:4022/rtp/239.77.0.36:5146
CCTV-7,http://xxy.x3322.net:4022/rtp/239.77.1.159:5146
CCTV-7,http://xxy.x3322.net:4022/rtp/239.77.1.167:5146
CCTV-7,http://xxy.x3322.net:4022/rtp/239.77.1.24:5146
CCTV-8,http://www.ye28.eu.org:7777/udp/239.77.0.172:5146
CCTV-8,http://www.ye28.eu.org:7777/udp/239.77.0.181:5146
CCTV-8,http://www.ye28.eu.org:7777/udp/239.77.0.37:5146
CCTV-8,http://xxy.x3322.net:4022/rtp/239.77.0.172:5146
CCTV-8,http://xxy.x3322.net:4022/rtp/239.77.0.181:5146
CCTV-8,http://xxy.x3322.net:4022/rtp/239.77.0.37:5146
CCTV-8K 8K,http://www.ye28.eu.org:7777/udp/239.253.43.106:5146
CCTV-8K 8K,http://xxy.x3322.net:4022/rtp/239.253.43.106:5146
CCTV-9,http://www.ye28.eu.org:7777/udp/239.77.0.135:5146
CCTV-9,http://www.ye28.eu.org:7777/udp/239.77.0.38:5146
CCTV-9,http://www.ye28.eu.org:7777/udp/239.77.1.160:5146
CCTV-9,http://www.ye28.eu.org:7777/udp/239.77.1.168:5146
CCTV-9,http://www.ye28.eu.org:7777/udp/239.77.1.65:5146
CCTV-9,http://xxy.x3322.net:4022/rtp/239.77.0.135:5146
CCTV-9,http://xxy.x3322.net:4022/rtp/239.77.0.38:5146
CCTV-9,http://xxy.x3322.net:4022/rtp/239.77.1.160:5146
